year,export_value,import_value,location_code,partner_code,hs_product_code
2010,20831955976,28951435,RUS,ITA,3
2011,18891200101,35733540,RUS,ITA,3
2013,22150894516,33411154,RUS,ITA,3
2014,26356601583,35457173,RUS,ITA,3
2001,11998295054,5613168,ARE,JPN,3
2003,13324542671,6231319,ARE,JPN,3
2010,27434761866,24530272,ARE,JPN,3
2011,40071537239,27433590,ARE,JPN,3
2012,41095642942,41654730,ARE,JPN,3
2013,39724365992,60701523,ARE,JPN,3
2014,38633447044,139741390,ARE,JPN,3
2016,15636689094,57193258,ARE,JPN,3
2017,18710015151,108886546,ARE,JPN,3
2007,31889286846,36440950,ARE,JPN,3
2002,10818396109,3826622,ARE,JPN,3
2015,21591120162,55411401,ARE,JPN,3
2008,41100323202,73758994,ARE,JPN,3
2000,13890225780,3683936,ARE,JPN,3
2004,16570573048,11924956,ARE,JPN,3
2005,24255336462,18342582,ARE,JPN,3
2006,30561711296,27011804,ARE,JPN,3
2009,21349998703,29886922,ARE,JPN,3
1997,11479016164,2505458,ARE,JPN,3
1996,10753702566,1450118,ARE,JPN,3
2005,14554995282,314648762,AUS,JPN,3
2006,16803154007,528051207,AUS,JPN,3
2007,18788388580,469312986,AUS,JPN,3
2008,33233044314,1666437502,AUS,JPN,3
2009,23813201116,1101529054,AUS,JPN,3
2010,30613107007,1190457814,AUS,JPN,3
2011,41100525542,2053921861,AUS,JPN,3
2012,38452483000,1616619993,AUS,JPN,3
2013,41446944863,3159182771,AUS,JPN,3
2014,38704670107,2288507117,AUS,JPN,3
2015,26855462462,2256370706,AUS,JPN,3
2016,20108012432,1794527003,AUS,JPN,3
2017,30601476768,2160900703,AUS,JPN,3
2008,5592320838,5050164496,CHN,JPN,3
2005,11025687664,46180737,IDN,JPN,3
2006,13151008673,51848729,IDN,JPN,3
2007,13828310606,77195085,IDN,JPN,3
2008,18854490159,225076117,IDN,JPN,3
2009,11405153361,75830050,IDN,JPN,3
2010,15461765379,107649277,IDN,JPN,3
2011,20301635005,227059431,IDN,JPN,3
2012,18041012411,109887928,IDN,JPN,3
2013,15528430706,251226908,IDN,JPN,3
2014,12365724202,115145066,IDN,JPN,3
2005,16976559959,5575552,IRN,JPN,3
2008,17166636098,873491,IRN,JPN,3
2010,10487197604,945126,IRN,JPN,3
2006,15029871918,549935,IRN,JPN,3
2007,11833286787,9250253,IRN,JPN,3
2011,12164386067,963093,IRN,JPN,3
2011,8865354396,2191136947,KOR,JPN,3
2012,9026621617,2454981146,KOR,JPN,3
2013,8701510021,3369332851,KOR,JPN,3
2011,12449520704,3958784,KWT,JPN,3
2013,12763823552,5355519,KWT,JPN,3
2014,11695102800,4127334,KWT,JPN,3
2008,14524114976,21980061,KWT,JPN,3
2012,14499589792,1722994,KWT,JPN,3
2011,13307405232,248399364,MYS,JPN,3
2012,15446559978,184405779,MYS,JPN,3
2013,14771879978,480958468,MYS,JPN,3
2014,14440448966,295828005,MYS,JPN,3
2006,14011121952,2048091,QAT,JPN,3
2007,16213913408,2720356,QAT,JPN,3
2008,24980991616,9496333,QAT,JPN,3
2010,20794948416,515212,QAT,JPN,3
2012,34875413041,3389153,QAT,JPN,3
2013,36592874502,7565477,QAT,JPN,3
2005,10066666712,95070,QAT,JPN,3
2014,31911318528,5044899,QAT,JPN,3
2015,15553849020,14572907,QAT,JPN,3
2016,10490489184,11081055,QAT,JPN,3
2011,28471761280,4996511,QAT,JPN,3
2009,15080762032,19291939,QAT,JPN,3
2017,10309288448,5960662,QAT,JPN,3
2015,11579161502,46273746,RUS,JPN,3
2012,14206618647,60682940,RUS,JPN,3
2010,10928635483,37441412,RUS,JPN,3
2011,12712838479,56753937,RUS,JPN,3
2013,17949879732,58695734,RUS,JPN,3
2014,18516761079,58403965,RUS,JPN,3
2002,10756268263,1522098,SAU,JPN,3
2005,26838390176,1446225,SAU,JPN,3
2006,34816545823,8347101,SAU,JPN,3
2008,47794655405,64461393,SAU,JPN,3
2010,33640777056,8225591,SAU,JPN,3
2011,47293951691,34126524,SAU,JPN,3
2013,46532595910,9422168,SAU,JPN,3
2014,44057037420,15906552,SAU,JPN,3
2016,17892987428,13491755,SAU,JPN,3
2004,17167369236,796623,SAU,JPN,3
2007,32910115970,7684758,SAU,JPN,3
2009,27265533304,4435039,SAU,JPN,3
2012,51416215508,6289815,SAU,JPN,3
2000,13121813075,1423763,SAU,JPN,3
2001,11388482228,758437,SAU,JPN,3
2003,13488633415,890372,SAU,JPN,3
2017,25428820259,17667962,SAU,JPN,3
1997,10988430562,25059607,SAU,JPN,3
2008,131618,10057752942,CHE,KAZ,3
2011,91003952,11324821066,CHN,KAZ,3
2012,82982336,10539782823,CHN,KAZ,3
